"interactorB.id"	"interactorB.approvedSymbol"	"score"	"interactionEvidenceEntries"	"gene"	"biologicalRole"
ENSG00000168036	CTNNB1	0.89	15	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000129514	FOXA1	0.71	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000140396	NCOA2	0.69	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000157554	ERG	0.69	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000141867	BRD4	0.68	 6	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000118058	KMT2A	0.67	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000171988	JMJD1C	0.64	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000005339	CREBBP	0.63	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000204209	DAXX	0.63	 5	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000198646	NCOA6	0.62	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000167548	KMT2D	0.60	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000170365	SMAD1	0.60	 6	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000116288	PARK7	0.60	 5	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000116288	PARK7	0.60	 1	"AR"	"A:cofactor, B:cofactor"
ENSG00000116030	SUMO1	0.60	 7	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000142515	KLK3	0.60	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000109685	NSD2	0.60	 5	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000129691	ASH2L	0.60	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000136504	KAT7	0.59	 5	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000175215	CTDSP2	0.58	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000127870	RNF6	0.58	10	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000141027	NCOR1	0.57	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000106462	EZH2	0.56	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000169083	AR	0.55	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000110092	CCND1	0.54	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000117450	PRDX1	0.54	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000068024	HDAC4	0.54	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000111837	MAK	0.54	 5	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000178585	CTNNBIP1	0.53	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000148180	GSN	0.53	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000012817	KDM5D	0.52	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000084676	NCOA1	0.52	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000159388	BTG2	0.52	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000163565	IFI16	0.52	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000115641	FHL2	0.51	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000132437	DDC	0.51	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000172977	KAT5	0.51	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000160973	FOXH1	0.51	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000013561	RNF14	0.50	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000253729	PRKDC	0.50	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000004478	FKBP4	0.50	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000124151	NCOA3	0.48	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000164190	NIPBL	0.47	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000178028	DMAP1	0.47	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000170734	POLH	0.47	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000125686	MED1	0.47	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000136826	KLF4	0.47	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000184634	MED12	0.47	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000130522	JUND	0.45	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000134954	ETS1	0.45	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000079308	TNS1	0.44	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000165458	INPPL1	0.44	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000124181	PLCG1	0.44	22	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000254087	LYN	0.44	 5	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000198574	SH2D1B	0.44	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000134215	VAV3	0.44	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000167193	CRK	0.44	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000107338	SHB	0.44	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000141738	GRB7	0.44	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000095370	SH2D3C	0.44	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000182511	FES	0.44	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000177885	GRB2	0.44	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000143322	ABL2	0.44	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000197122	SRC	0.44	 7	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000185634	SHC4	0.44	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000117461	PIK3R3	0.44	37	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000095585	BLNK	0.44	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000101336	HCK	0.44	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000136573	BLK	0.44	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000160691	SHC1	0.44	14	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000105647	PIK3R2	0.44	14	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000179295	PTPN11	0.44	12	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000176105	YES1	0.44	 5	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000183918	SH2D1A	0.44	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000010671	BTK	0.44	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000141968	VAV1	0.44	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000101213	PTK6	0.44	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000169291	SHE	0.44	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000027869	SH2D2A	0.44	 6	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000100351	GRAP2	0.44	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000266412	NCOA4	0.44	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000197943	PLCG2	0.44	 6	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000184557	SOCS3	0.44	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000165025	SYK	0.44	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000035720	STAP1	0.44	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000097007	ABL1	0.44	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000000938	FGR	0.44	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000007264	MATK	0.44	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000148082	SHC3	0.44	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000145715	RASA1	0.44	16	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000131746	TNS4	0.44	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000182866	LCK	0.44	 7	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000145675	PIK3R1	0.44	 5	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000160293	VAV2	0.44	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000196684	HSH2D	0.44	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000170677	SOCS6	0.44	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000089280	FUS	0.43	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000196591	HDAC2	0.40	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000061938	TNK2	0.40	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000181222	POLR2A	0.40	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000108424	KPNB1	0.40	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000166501	PRKCB	0.40	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000280789	PAGR1	0.40	 1	"AR"	"A:unspecified role, B:unspecified role"
NA	NA	0.40	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000135679	MDM2	0.40	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000185591	SP1	0.40	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000137845	ADAM10	0.40	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000116478	HDAC1	0.40	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000157554	ERG	0.40	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000163161	ERCC3	0.40	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000064012	CASP8	0.40	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000012817	KDM5D	0.40	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000100644	HIF1A	0.40	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000175792	RUVBL1	0.40	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000080824	HSP90AA1	0.40	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000125651	GTF2F1	0.40	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000150907	FOXO1	0.40	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000096384	HSP90AB1	0.40	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000170515	PA2G4	0.40	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000141510	TP53	0.37	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000196843	ARID5A	0.37	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000178950	GAK	0.37	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000075624	ACTB	0.37	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000151729	SLC25A4	0.37	 1	"AR"	"A:unspecified role, B:competitor"
ENSG00000253729	PRKDC	0.35	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000126581	BECN1	0.35	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000171456	ASXL1	0.35	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000128245	YWHAH	0.35	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000147050	KDM6A	0.35	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000100393	EP300	0.35	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000160633	SAFB	0.35	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000004487	KDM1A	0.35	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000134323	MYCN	0.35	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000181788	SIAH2	0.35	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000118689	FOXO3	0.35	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000204256	BRD2	0.35	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000169925	BRD3	0.35	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000117713	ARID1A	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000064961	HMG20B	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000049618	ARID1B	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000137166	FOXP4	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000187555	USP7	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000198730	CTR9	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000091009	RBM27	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000116604	MEF2D	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000114861	FOXP1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000147162	OGT	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000011332	DPF1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000117625	RCOR3	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000137812	KNL1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000171316	CHD7	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000183495	EP400	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000011426	ANLN	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000189308	LIN54	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000173473	SMARCC1	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000182872	RBM10	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000198231	DDX42	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000126705	AHDC1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000288701	PRRC2B	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000165494	PCF11	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000122779	TRIM24	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000204356	NELFE	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000136715	SAP130	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000011451	WIZ	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000080503	SMARCA2	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000180357	ZNF609	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000185049	NELFA	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000083307	GRHL2	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000118482	PHF3	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000127616	SMARCA4	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000177565	TBL1XR1	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000108604	SMARCD2	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000159479	MED8	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000157741	UBN2	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000133884	DPF2	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000075426	FOSL2	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000136603	SKIL	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000168916	ZNF608	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000124496	TRERF1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000108510	MED13	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000161847	RAVER1	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000068305	MEF2A	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000139613	SMARCC2	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000127511	SIN3B	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000197323	TRIM33	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000126464	PRR12	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000134317	GRHL1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000153487	ING1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000066117	SMARCD1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000134371	CDC73	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000088325	TPX2	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000095951	HIVEP1	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000157259	GATAD1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000145687	SSBP2	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000089902	RCOR1	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000162702	ZNF281	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000174744	BRMS1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000119596	YLPM1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000168264	IRF2BP2	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000186834	HEXIM1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000177463	NR2C2	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000155330	C16orf87	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000172409	CLP1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000004487	KDM1A	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000101457	DNTTIP1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000156860	FBRS	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000007866	TEAD3	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000129315	CCNT1	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000072364	AFF4	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000179361	ARID3B	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000105810	CDK6	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000176476	SGF29	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000104964	TLE5	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000148297	MED22	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000157212	PAXIP1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000196700	ZNF512B	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000198824	CHAMP1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000115289	PCGF1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000182095	TNRC18	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000111676	ATN1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000099956	SMARCB1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000131149	GSE1	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000161021	MAML1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000140332	TLE3	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000115966	ATF2	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000089094	KDM2B	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000130749	ZC3H4	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000139746	RBM26	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000237649	KIFC1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000163125	RPRD2	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000117036	ETV3	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000106829	TLE4	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000076924	XAB2	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000213588	ZBTB9	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000102098	SCML2	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000135365	PHF21A	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000103549	RNF40	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000124788	ATXN1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000085872	CHERP	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000177485	ZBTB33	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000169375	SIN3A	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000134453	RBM17	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000133997	MED6	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000198728	LDB1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000134046	MBD2	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000133131	MORC4	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000132522	GPS2	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000104447	TRPS1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000141905	NFIC	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000102554	KLF5	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000042429	MED17	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000184863	RBM33	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000170322	NFRKB	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000114982	KANSL3	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000180182	MED14	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000168769	TET2	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000157933	SKI	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000177606	JUN	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000174197	MGA	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000008441	NFIX	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000123066	MED13L	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000120733	KDM3B	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000174306	ZHX3	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000130772	MED18	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000147862	NFIB	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000113916	BCL6	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
NA	NA	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000160094	ZNF362	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000099917	MED15	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000090889	KIF4A	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000116128	BCL9	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000132964	CDK8	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000163848	ZNF148	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000141867	BRD4	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000112983	BRD8	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000136518	ACTL6A	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000100207	TCF20	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000146834	MEPCE	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000184661	CDCA2	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000111605	CPSF6	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000142599	RERE	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000137693	YAP1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000135972	MRPS9	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000244462	RBM12	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000163348	PYGO2	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000178913	TAF7	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000060749	QSER1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000183814	LIN9	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000224470	ATXN1L	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000204435	CSNK2B	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000173276	ZBTB21	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000143390	RFX5	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000155827	RNF20	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000109381	ELF2	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000171940	ZNF217	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000158636	EMSY	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000183337	BCOR	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000156030	MIDEAS	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000150347	ARID5B	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000171720	HDAC3	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000186174	BCL9L	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000196781	TLE1	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000167615	LENG8	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000136146	MED4	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000095787	WAC	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000109118	PHF12	0.27	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000163930	BAP1	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000101040	ZMYND8	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000079432	CIC	0.27	 1	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000196363	WDR5	0.80	 6	"ATN1"	"A:unspecified role, B:unspecified role"
ENSG00000151929	BAG3	0.72	 6	"ATN1"	"A:unspecified role, B:unspecified role"
ENSG00000101266	CSNK2A1	0.72	 6	"ATN1"	"A:unspecified role, B:unspecified role"
ENSG00000186977	KRTAP19-5	0.72	 6	"ATN1"	"A:unspecified role, B:unspecified role"
